ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
1712878564.11433,CoNC611bHhZuRiFQD7,10.30.222.137,41048,14.22.7.140,80,tcp,http,21.803974,1062,291,SF,T,F,0,ShADTadfF,13,2824,4,507,-,6
1712878584.9896,C7F3EC3uT8D4UsOv75,10.30.222.137,45056,156.236.118.52,12371,tcp,http,1.204569,174,178,SF,T,F,0,ShADadFf,6,494,4,394,-,6
1712878606.51351,CiVSrI10SBxtzjbkZ,10.30.222.137,48114,47.251.5.25,8742,tcp,http,19.095289,493,281,SF,T,F,0,ShADaFdft,4,709,9,1319,-,6
1712878613.36279,CC1jKQ3vHW8iROhwZh,10.30.222.137,48112,47.251.5.25,8742,tcp,http,18.760117,296,282,SF,T,F,0,ShADaFdft,4,512,9,1322,-,6
1712878693.62678,CIj6SySW5nRvLuclf,10.30.222.137,48170,47.251.5.25,8742,tcp,http,16.910315,210,318,SF,T,F,0,ShADaFdft,4,426,9,1430,-,6
1712878693.26204,CcXz24gNhlL19Xrbh,10.30.222.137,41964,23.237.60.122,80,tcp,http,39.776989,677,623,SF,T,F,0,ShADadfF,12,1309,5,891,-,6
1712878752.02187,C06J9p1TA3dtfoDId8,10.30.222.137,35676,104.26.6.35,2082,tcp,http,17.38043,2898,3333,SF,T,F,0,ShADadFf,13,3582,11,3913,-,6
1712878786.24957,CZzWBqcPVfbokGbcb,10.30.222.137,48218,47.251.5.25,8742,tcp,http,18.472338,296,282,SF,T,F,0,ShADTaFdf,5,860,7,654,-,6
1712878786.3936,C27UH92lDBz0KmpPyj,10.30.222.137,48220,47.251.5.25,8742,tcp,http,20.388443,493,281,SF,T,F,0,ShADaFdfRR,14,1197,6,601,-,6
1712878801.50216,CA0mvl1TlOL1LhOcQ9,10.30.222.137,48222,47.251.5.25,8742,tcp,http,17.208112,208,363,SF,T,F,0,ShADaFdft,4,424,9,1565,-,6
1712878841.86724,CHt0VnXARBcIVVsM4,10.30.222.137,35720,104.26.6.35,2082,tcp,http,39.460799,2898,3337,SF,T,F,0,ShADadtFf,14,3646,12,3974,-,6
1712878889.40552,Cz9mhG46OT4KnZNzqd,10.30.222.137,54896,8.219.89.234,80,tcp,http,18.228216,537,290,SF,T,F,0,ShADadfF,12,1169,5,558,-,6
1712878891.74594,C4xaJSKBxwGIXqMHa,10.30.222.137,41264,14.22.7.140,80,tcp,http,16.5465,1017,291,SF,T,F,0,ShADTadfF,12,2666,5,559,-,6
1712878891.46801,CEwdr82zhC5ljdZlJl,10.30.222.137,54878,8.219.89.234,80,tcp,http,16.963683,818,899,SF,T,F,0,ShADTadfF,16,4112,6,1227,-,6
1712878893.66015,CavyNv3oRPiDiW44m4,10.30.222.137,48278,47.251.5.25,8742,tcp,http,17.118383,210,318,SF,T,F,0,ShADTaFdf,5,688,7,690,-,6
1712878905.5415,Cias7L1lvQVYaQmMt5,10.30.222.137,45252,156.236.118.52,12371,tcp,http,7.827781,174,178,SF,T,F,0,ShADadFf,6,494,4,394,-,6
1712878907.81937,CGUMkumuFW4XcM6gi,10.30.222.137,50836,128.1.248.178,12370,tcp,http,31.454643,173,178,SF,T,F,0,ShADadFf,7,545,5,446,-,6
1712879008.47347,CQAepm1Dd5NY6JvCYf,10.30.222.137,48364,47.251.5.25,8742,tcp,http,19.50541,208,363,SF,T,F,0,ShADTaFdft,7,804,8,1150,-,6
1712879008.09852,CgVe0K2CvvzAct0lrb,10.30.222.137,48360,47.251.5.25,8742,tcp,http,20.883969,296,282,SF,T,F,0,ShADTaFdf,10,1720,7,670,-,6
1712879036.66845,ChIxJw4FwoSujZY601,10.30.234.230,49638,94.74.90.138,80,tcp,http,4.257982,13569,299,SF,T,F,0,ShADaTTdfF,31,32094,18,1375,-,6
1712879024.05921,CyxHC4P8aEH2Oeuo2,10.30.222.137,37978,103.82.219.81,80,tcp,http,26.491793,603,296,SF,T,F,0,ShADTadfF,17,3907,6,624,-,6
